Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,64,1,$0.12,$0.12,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 15, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Off Amazon,10,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,76,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary CAT LOW BID AUTO Low Bid,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 15, 2026","Feb 15, 2026",Stitch Dictionary All,USD,Stitch Dictionary CAT LOW BID AUTO Low Bid,Amazon,United States,Dynamic bids - down only,Off Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 11, 2026",Stitch Dictionary All,USD,Stitch Dictionary CAT LOW BID AUTO Low Bid,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 13, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 16, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,26,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,956,52,$0.57,$29.52,$34.96,84.4394%,1.18,1,1
"Feb 15, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID Product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID Product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,61,1,$0.08,$0.08,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID Product Targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,4,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID Product Targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,10,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,Fuse beads -SP-exact-TOS-fuse beads,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,68,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,Fuse beads -SP-exact-TOS-fuse beads,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,7,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,Fuse beads -SP-exact-TOS-fuse beads,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,14,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit kids root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,2263,25,$0.45,$11.29,$21.98,51.3649%,1.95,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit kids root TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,6,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit kids root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,88,12,$1.68,$20.11,$43.96,45.7461%,2.19,2,2
"Feb 11, 2026","Feb 17, 2026",Dessert Family,USD,dessert sewing - SPM SK sewing kit for kids ages 8-12 TOS,Amazon,United States,Fixed bids,Product pages on Amazon,2198,21,$0.72,$15.16,$22.98,65.9704%,1.52,1,1
"Feb 11, 2026","Feb 17, 2026",Dessert Family,USD,dessert sewing - SPM SK sewing kit for kids ages 8-12 TOS,Amazon,United States,Fixed bids,Rest of search on Amazon,524,7,$1.22,$8.54,$22.98,37.1628%,2.69,1,1
"Feb 11, 2026","Feb 17, 2026",Dessert Family,USD,dessert sewing - SPM SK sewing kit for kids ages 8-12 TOS,Amazon,United States,Fixed bids,Top of Search on Amazon,407,29,$1.52,$43.98,$45.96,95.6919%,1.05,2,2
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits exact TOS push,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,19,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits exact TOS push,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,223,1,$0.45,$0.45,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits exact TOS push,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,98,2,$0.88,$1.75,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,Biggie Auto,Amazon,United States,Fixed bids,Product pages on Amazon,42160,12,$0.64,$7.64,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,Biggie Auto,Amazon,United States,Fixed bids,Off Amazon,10655,28,$0.34,$9.60,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,Biggie Auto,Amazon,United States,Fixed bids,Rest of search on Amazon,9355,26,$0.64,$16.67,$49.96,33.3667%,3.00,2,2
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,Biggie Auto,Amazon,United States,Fixed bids,Top of Search on Amazon,231,5,$0.78,$3.90,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",biggie beads,USD,biggie beads - SPM MK biggie root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",biggie beads,USD,biggie beads - SPM MK biggie root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,38,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK sewing kit for kids TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,579,7,$0.34,$2.38,$21.98,10.8280%,9.24,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK sewing kit for kids TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,22,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK sewing kit for kids TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,436,32,$1.22,$38.91,$290.74,13.3831%,7.47,6,13
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 mini perler beads tos push,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,157,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 mini perler beads tos push,Amazon,United States,Dynamic bids - down only,Off Amazon,235,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 mini perler beads tos push,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,296,1,$0.36,$0.36,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 mini perler beads tos push,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1038,77,$0.75,$57.83,$232.84,24.8368%,4.03,7,7
"Feb 12, 2026","Feb 17, 2026",biggie beads,USD,biggie auto,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,4,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",biggie beads,USD,biggie auto,Amazon,United States,Dynamic bids - down only,Off Amazon,1105,3,$0.12,$0.36,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",biggie beads,USD,biggie auto,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,16,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",biggie beads,USD,biggie auto,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1261,48,$0.87,$41.98,$74.94,56.0181%,1.79,3,3
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads TOS push - mini root,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,20564,145,$0.83,$120.04,$127.30,94.2969%,1.06,4,4
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads TOS push - mini root,Amazon,United States,Dynamic bids - down only,Off Amazon,20,1,$0.24,$0.24,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads TOS push - mini root,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,859,6,$0.95,$5.69,$32.98,17.2529%,5.80,1,1
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads TOS push - mini root,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,390,36,$1.42,$51.01,$164.90,30.9339%,3.23,5,5
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads-  SPM MK multi root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,189,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads-  SPM MK multi root TOS,Amazon,United States,Dynamic bids - down only,Off Amazon,39,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads-  SPM MK multi root TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,173,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads-  SPM MK multi root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1026,93,$1.05,$97.79,$292.22,33.4645%,2.99,9,9
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits - manual TOS competitor keyword push,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,119,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits - manual TOS competitor keyword push,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,79,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook kits - manual TOS competitor keyword push,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,122,4,$1.11,$4.44,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,478,4,$0.56,$2.24,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit root TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,7,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK sewing kit root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,33,4,$1.24,$4.97,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | SK | crossstitching kits adult beginner,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,413,2,$0.64,$1.28,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | SK | crossstitching kits adult beginner,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 16, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | SK | crossstitching kits adult beginner,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK kids sewing kit root,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,2807,32,$0.54,$17.26,$43.96,39.2630%,2.55,2,2
"Feb 11, 2026","Feb 16, 2026",fairy family,USD,fairy sewing - SPM MK kids sewing kit root,Amazon,United States,Dynamic bids - down only,Off Amazon,4,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK kids sewing kit root,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,69,1,$0.56,$0.56,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM MK kids sewing kit root,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,186,21,$1.20,$25.19,$48.96,51.4502%,1.94,2,2
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,knitting bunny - SP - TOS beginners crochet kit for kids,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1144,17,$0.57,$9.63,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,knitting bunny - SP - TOS beginners crochet kit for kids,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,51,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",No Portfolio,USD,knitting bunny - SP - TOS beginners crochet kit for kids,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,219,14,$2.05,$28.65,$0.00,,0.00,0,0
"Feb 15, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1| SPM | PT | Brand's ASINs,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1| SPM | PT | Brand's ASINs,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,384,4,$0.40,$1.60,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1| SPM | PT | Brand's ASINs,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,17,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - latch hook kits,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1324,7,$0.68,$4.76,$19.98,23.8238%,4.20,1,1
"Feb 11, 2026","Feb 16, 2026",Shield All,USD,shield product - latch hook kits,Amazon,United States,Dynamic bids - down only,Off Amazon,15,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - latch hook kits,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,4384,40,$0.68,$27.04,$139.88,19.3309%,5.17,5,6
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - latch hook kits,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,899,28,$1.11,$31.10,$94.92,32.7644%,3.05,4,4
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,embroidery beginner - manual - product targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,208,3,$0.49,$1.47,$26.98,5.4485%,18.35,1,1
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,embroidery beginner - manual - product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,195,2,$0.14,$0.28,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,embroidery beginner - manual - product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,610,1,$0.49,$0.49,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,embroidery beginner - manual - product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,658,52,$0.91,$47.25,$100.92,46.8193%,2.14,4,4
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - cross stitch kits,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1149,6,$0.80,$4.80,$19.98,24.0240%,4.16,1,1
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - cross stitch kits,Amazon,United States,Dynamic bids - down only,Off Amazon,205,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - cross stitch kits,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,5734,67,$0.78,$52.39,$79.92,65.5531%,1.53,4,4
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield product - cross stitch kits,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,889,53,$0.83,$43.82,$99.90,43.8639%,2.28,4,5
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - manual - product targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,124,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - manual - product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,4,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - manual - product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1696,15,$0.84,$12.61,$24.98,50.4804%,1.98,1,1
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - manual - product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,462,12,$1.21,$14.49,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | PT | 4 flowers,Amazon,United States,ruleBased,Product pages on Amazon,65,1,$0.70,$0.70,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | PT | 4 flowers,Amazon,United States,ruleBased,Rest of search on Amazon,1547,9,$1.04,$9.38,$24.98,37.5500%,2.66,1,1
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | PT | 4 flowers,Amazon,United States,ruleBased,Top of Search on Amazon,634,21,$1.14,$23.89,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield brand name - manual and broad,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,5508,42,$0.90,$37.77,$91.92,41.0901%,2.43,4,4
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield brand name - manual and broad,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,202,5,$0.79,$3.96,$46.96,8.4327%,11.86,2,2
"Feb 11, 2026","Feb 17, 2026",Shield All,USD,shield brand name - manual and broad,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,58,7,$0.73,$5.11,$19.98,25.5756%,3.91,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - manual - product targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,536,2,$1.09,$2.17,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - manual - product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,48,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - manual - product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,176,2,$0.46,$0.92,$21.98,4.1856%,23.89,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - manual - product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,349,15,$1.45,$21.71,$43.96,49.3858%,2.02,2,2
"Feb 12, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,12,0,,$0.00,$0.00,,,0,0
"Feb 14, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,10,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,244,1,$0.53,$0.53,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,497,43,$1.30,$55.69,$135.92,40.9726%,2.44,4,4
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,ballerina sewing - manual TOS crafts for kids PUSH,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,878,11,$0.58,$6.38,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,ballerina sewing - manual TOS crafts for kids PUSH,Amazon,United States,Dynamic bids - down only,Off Amazon,78,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,ballerina sewing - manual TOS crafts for kids PUSH,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,17,1,$0.58,$0.58,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,ballerina sewing - manual TOS crafts for kids PUSH,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,35,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,cross girl - manual TOS beginner cross stitch kits PUSH,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,118,0,,$0.00,$0.00,,,0,0
"Feb 15, 2026","Feb 16, 2026",Cross stitch backpack charms,USD,cross girl - manual TOS beginner cross stitch kits PUSH,Amazon,United States,Dynamic bids - down only,Off Amazon,7,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,cross girl - manual TOS beginner cross stitch kits PUSH,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,cross girl - manual TOS beginner cross stitch kits PUSH,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,10,0,,$0.00,$0.00,,,0,0
"Feb 17, 2026","Feb 17, 2026",fuse beads,USD,48 mini beads - SP  mini perler TOS push,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 15, 2026","Feb 15, 2026",fuse beads,USD,48 mini beads - SP  mini perler TOS push,Amazon,United States,Dynamic bids - down only,Off Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 16, 2026","Feb 16, 2026",fuse beads,USD,48 mini beads - SP  mini perler TOS push,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 mini beads - SP  mini perler TOS push,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,17,1,$0.72,$0.72,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 11, 2026",4 Flowers embroidery,USD,4 flowers- shield brand self target,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,2,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers- shield brand self target,Amazon,United States,Dynamic bids - down only,Off Amazon,11,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers- shield brand self target,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1133,9,$0.65,$5.85,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers- shield brand self target,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,330,15,$0.95,$14.22,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,mini fuse beads TOS push - mini root other,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,432,4,$0.58,$2.30,$0.00,,0.00,0,0
"Feb 14, 2026","Feb 16, 2026",fuse beads,USD,mini fuse beads TOS push - mini root other,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 11, 2026",fuse beads,USD,mini fuse beads TOS push - mini root other,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,cross girl - SPM brand shield,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,90,2,$0.42,$0.84,$0.00,,0.00,0,0
"Feb 16, 2026","Feb 16, 2026",Cross stitch backpack charms,USD,cross girl - SPM brand shield,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Emroidery Kit | SPM | Defence | Brand KW,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,181,1,$0.68,$0.68,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Emroidery Kit | SPM | Defence | Brand KW,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,12,0,,$0.00,$0.00,,,0,0
"Feb 14, 2026","Feb 14, 2026",4 Flowers embroidery,USD,SO | Emroidery Kit | SPM | Defence | Brand KW,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,1,$0.45,$0.45,$24.98,1.8014%,55.51,1,1
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - SPM for kids root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,722,8,$0.45,$3.62,$44.96,8.0516%,12.42,2,2
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - SPM for kids root TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1926,12,$0.79,$9.48,$39.96,23.7237%,4.22,2,2
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,latch hook - SPM for kids root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,858,37,$1.37,$50.83,$79.92,63.6011%,1.57,4,4
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - shield brand asins,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,43,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - shield brand asins,Amazon,United States,Dynamic bids - down only,Off Amazon,57,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - shield brand asins,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,166,3,$0.53,$1.58,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - shield brand asins,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,103,5,$0.83,$4.14,$0.00,,0.00,0,0
